system:index,Blue,Green,L8_Blue,L8_CI,L8_CI_nd,L8_CarbI,L8_FII,L8_FII_nd,L8_Green,L8_IOI,L8_IOI_nd,L8_NDVI,L8_NDWI,L8_NIR,L8_Red,L8_SWIR1,L8_SWIR2,L8_TIR,NIR,RE1,RE2,RE3,RE4,Red,S2_CI,S2_CI_nd,S2_CarbI,S2_FII,S2_FII_nd,S2_IOI,S2_IOI_nd,S2_NDVI,S2_NDWI,SWIR1,SWIR2,label,.geo
2_457,0.06494999676942825,0.08370000123977661,0.05914166666666666,1.4412195055791088,0.18073733150959015,0.6938568317517888,1.4642513329033744,0.1883944720029831,0.08605431250000001,1.9569395519233481,0.32362499833106995,0.3111775517463684,-0.43821394443511963,0.2203054166666667,0.11573666666666667,0.3225825,0.22382607142857142,304.84393829600003,0.2036599963903427,0.15150000154972076,0.17560000717639923,0.19499999284744263,0.22755999863147736,0.11885999888181686,1.4061776399612427,0.16880618035793304,0.7111477255821228,1.5137399435043335,0.20437274873256683,1.830023169517517,0.29329201579093933,0.26292943954467773,-0.41745543479919434,0.3444666564464569,0.24496667087078094,0,"{""type"":""Point"",""coordinates"":[27.58793643675309,-20.60382327929206]}"
2_458,0.06185000017285347,0.07563749700784683,0.0228215,1.451872177442405,0.18429678678512573,0.6887658676410372,1.1141808817666696,0.0540071502327919,0.0407075,2.1609009048484977,0.36726900935173035,0.43945297598838806,-0.5134919285774231,0.12663812500000002,0.049315,0.14109777777777774,0.09718333333333334,300.76920272,0.19910334050655365,0.11405999958515167,0.15913332998752594,0.17885999381542206,0.2029000073671341,0.08879166841506958,1.410939335823059,0.17044782638549805,0.7087476849555969,1.1399704217910767,0.06540761888027191,1.4355969429016113,0.1788460612297058,0.3831663131713867,-0.4493902027606964,0.2312999963760376,0.16393333673477173,0,"{""type"":""Point"",""coordinates"":[32.28338049623107,-19.575498407941403]}"
2_459,0.04556666687130928,0.06040000170469284,0.042284166666666664,1.4007025508218505,0.16691052913665771,0.7139274497738712,1.5253890908122647,0.20804283022880554,0.064309375,2.1435091937486455,0.3637683689594269,0.3489084541797638,-0.48978403210639954,0.1877775,0.09063650000000001,0.28643375000000004,0.20449291666666664,304.2127154525,0.17122000455856323,0.11946666985750198,0.14105555415153503,0.15862500667572021,0.18703334033489227,0.09305000305175781,1.367578148841858,0.15525491535663605,0.7312196493148804,1.559882402420044,0.21871410310268402,2.042062997817993,0.34255141019821167,0.2957959771156311,-0.4784560799598694,0.2917500138282776,0.2133333384990692,0,"{""type"":""Point"",""coordinates"":[28.510621011257236,-21.055622678638578]}"
2_460,0.06040000170469284,0.07784000039100647,0.052119999999999986,1.323930948888638,0.13938923180103302,0.7553264019089825,1.4053872779753993,0.168533056974411,0.07528875000000002,2.1243764389869537,0.3598722815513611,0.30680376291275024,-0.4698372185230255,0.2087325,0.1107225,0.29335,0.22157500000000002,305.24453024,0.20168888568878174,0.1468571424484253,0.17028667032718658,0.18894000351428986,0.21773570775985718,0.11862500011920929,1.3034497499465942,0.13173706829547882,0.767194926738739,1.4304039478302002,0.17709150910377502,1.9639899730682373,0.32523390650749207,0.25932028889656067,-0.4430629312992096,0.3114500045776367,0.23894286155700684,0,"{""type"":""Point"",""coordinates"":[26.594558945851276,-20.74089206770555]}"
2_461,0.049424998462200165,0.0719124972820282,0.0398825,1.430169208987313,0.17701204121112823,0.6992179622634226,1.1269695420984527,0.0596950463950634,0.07038,2.556948536325456,0.43772029876708984,0.3854648470878601,-0.5312492251396179,0.22990750000000001,0.1019775,0.25909875000000004,0.1811665,308.376803768,0.22142499685287476,0.13736000657081604,0.18107500672340393,0.2038625031709671,0.2354000061750412,0.10499999672174454,1.4111751317977905,0.17052893340587616,0.7086292505264282,1.1334961652755737,0.06257152557373047,2.1244308948516846,0.3598834276199341,0.3566669225692749,-0.5096944570541382,0.26682499051094055,0.18907999992370605,0,"{""type"":""Point"",""coordinates"":[26.902579544859933,-16.28301292161669]}"
2_463,0.06684999912977219,0.08733333647251129,0.050071249999999984,1.3737856688162517,0.1574639528989792,0.7279155858873304,1.238174527448816,0.10641463845968246,0.07355624999999999,2.1523953366452813,0.3655618131160736,0.30066126585006714,-0.46308815479278564,0.20044125,0.107773125,0.24818125,0.180655,308.89953296000004,0.19168375432491302,0.15503333508968353,0.16902856528759003,0.18451818823814392,0.2050500065088272,0.13224999606609344,1.2859396934509277,0.12508629262447357,0.7776414155960083,1.2416483163833618,0.10779937356710434,1.9783096313476562,0.3284781575202942,0.1834750473499298,-0.373992919921875,0.25459998846054077,0.19798749685287476,0,"{""type"":""Point"",""coordinates"":[31.60876621277722,-21.457452437634267]}"
2_464,0.050450000911951065,0.06913333386182785,0.03864499999999999,1.3212260166525882,0.13838635385036469,0.7568727737692941,1.36138319771217,0.15303878486156464,0.06396857142857144,2.3255434079441075,0.39859452843666077,0.3363272249698639,-0.4776499569416046,0.1809575,0.08987062500000001,0.24635249999999997,0.1864575,305.35048886,0.18393750488758087,0.12166666984558105,0.14978571236133575,0.1684909164905548,0.19277143478393555,0.0952666699886322,1.287752628326416,0.12577959895133972,0.7765466570854187,1.349958062171936,0.1489209681749344,1.888338327407837,0.30756035447120667,0.31758418679237366,-0.45364439487457275,0.2602333426475525,0.20208333432674408,0,"{""type"":""Point"",""coordinates"":[28.66740847997042,-21.512646556126676]}"
2_465,0.05480000004172325,0.0745600014925003,0.02610499999999999,1.7283656139681323,0.26696041226387024,0.578581286226884,0.9090566937234189,-0.04763782396912575,0.05206499999999997,2.2749233863244602,0.389298677444458,0.5408101677894592,-0.5856965184211731,0.1992725,0.059386875000000006,0.18114999999999998,0.10481000000000001,301.04378366000003,0.229642853140831,0.13234999775886536,0.19043999910354614,0.21604999899864197,0.24914444983005524,0.08495000004768372,1.5146515369415283,0.20466116070747375,0.6602178812026978,1.0684565305709839,0.03309544920921326,1.5501824617385864,0.21574239432811737,0.45993688702583313,-0.5098007917404175,0.2662000060081482,0.1757500022649765,0,"{""type"":""Point"",""coordinates"":[32.515498379170594,-17.446959252503845]}"
2_466,0.07000000029802322,0.10080000013113022,0.05572250000000001,1.3598230395204944,0.15247882902622223,0.7353898050974512,1.4986238274448127,0.19955937564373016,0.08699000000000001,2.1153483781237377,0.358017235994339,0.3074674606323242,-0.43791747093200684,0.2225375,0.11787249999999999,0.3335,0.24525249999999998,304.17127196,0.22529999911785126,0.16252000629901886,0.187950000166893,0.2076999992132187,0.23508000373840332,0.14010000228881836,1.2667986154556274,0.11769840121269226,0.7893914580345154,1.4988939762115479,0.19964592158794403,2.0014286041259766,0.3336506485939026,0.23316912353038788,-0.38178473711013794,0.3523600101470947,0.2781499922275543,0,"{""type"":""Point"",""coordinates"":[28.672335514353424,-20.019205754412127]}"
2_467,0.12053333222866058,0.15422500669956207,0.09163750000000001,1.2719215457156876,0.11968791484832764,0.786212013915778,1.4985549005418572,0.19953730702400208,0.133685,1.9323966716682581,0.3179640471935272,0.2306973785161972,-0.35877880454063416,0.283285,0.17708000000000002,0.424518125,0.33376125,306.58097605999995,0.299699991941452,0.23534999787807465,0.25891250371932983,0.2800300121307373,0.3097499907016754,0.20440000295639038,1.2515652179718018,0.11172903329133987,0.798999547958374,1.5542372465133667,0.21698740124702454,1.6957964897155762,0.25810423493385315,0.18904976546764374,-0.32048243284225464,0.4814249873161316,0.3846583366394043,0,"{""type"":""Point"",""coordinates"":[30.230367260008453,-20.039530376945024]}"
2_468,0.044679999351501465,0.05820000171661377,0.040074999999999986,1.4174911082292214,0.17269602417945862,0.7054717974557416,1.21359883692169,0.0964939221739769,0.06029300000000002,1.9493761696818472,0.3218905031681061,0.3991880416870117,-0.502171516418457,0.181931,0.07812125,0.22079125,0.155762,302.639999,0.17024999856948853,0.10785999894142151,0.13714444637298584,0.15478888154029846,0.18214285373687744,0.08034999668598175,1.4144190549850464,0.17164336144924164,0.7070040702819824,1.24894118309021,0.11069262772798538,1.7983437776565552,0.28529152274131775,0.35873904824256897,-0.4904792904853821,0.22748571634292603,0.16083332896232605,0,"{""type"":""Point"",""coordinates"":[30.81773667681527,-18.260500126852772]}"
2_470,0.06283333152532578,0.08743076771497726,0.060170625000000005,1.3628662814190224,0.15357038378715515,0.7337477004411582,1.4301210307408716,0.17699572443962097,0.0895475,2.123807644233932,0.3597557246685028,0.3138328790664673,-0.46416276693344116,0.24468645833333336,0.12779083333333335,0.34993125,0.25676125000000005,304.00378897999997,0.22552500665187836,0.1626666635274887,0.1889750063419342,0.2120157927274704,0.2393857091665268,0.1284874975681305,1.322563648223877,0.1388825625181198,0.7561073303222656,1.4654592275619507,0.18879209458827972,2.044893980026245,0.3431626558303833,0.27410757541656494,-0.4412580132484436,0.3508099913597107,0.26524999737739563,0,"{""type"":""Point"",""coordinates"":[28.040670947544076,-20.381143457724306]}"
2_471,0.04247500002384186,0.05692499876022339,0.035221249999999996,1.5993515597616543,0.23057733476161957,0.6252533996646906,1.0367395626242546,0.018038420006632805,0.05760625,1.9595769599318593,0.3242277503013611,0.5224958658218384,-0.5850721597671509,0.2200625,0.06901874999999999,0.2281475,0.14265,299.90900102,0.18596667051315308,0.1028333306312561,0.14895999431610107,0.1689833402633667,0.1972375065088272,0.07370000332593918,1.4560050964355469,0.1856694519519806,0.6868107914924622,1.1493756771087646,0.0694972425699234,1.7351384162902832,0.2687755823135376,0.43234914541244507,-0.5312725305557251,0.22669999301433563,0.15569999814033508,0,"{""type"":""Point"",""coordinates"":[31.05318229677873,-21.88736079718872]}"
